OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10 
?,2457,2457,2457,2457,2457,2457,2457,2457,2457,2457
?,127,127,127,127,127,127,127,127,127,127
?,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710
?,272,272,272,272,272,272,272,272,272,272
?,2301,2301,2301,2301,2301,2301,2301,2301,2301,2301
?,348,348,348,348,348,348,348,348,348,348
?,2886,2886,2886,2886,2886,2886,2886,2886,2886,2886
?,597,597,597,597,597,597,597,597,597,597
?,2628,2628,2628,2628,2628,2628,2628,2628,2628,2628
?,164,164,164,164,164,164,164,164,164,164
?,1514,1514,1514,1514,1514,1514,1514,1514,1514,1514
?,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137
?,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611
?,1151,1151,1151,1151,1151,1151,1151,1151,1151,1151
?,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903
?,2664,2664,2664,2664,2664,2664,2664,2664,2664,2664
?,1399,1399,1399,1399,1399,1399,1399,1399,1399,1399
?,1244,1244,1244,1244,1244,1244,1244,1244,1244,1244
?,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193
?,2480,2480,2480,2480,2480,2480,2480,2480,2480,2480
?,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340
?,1263,1263,1263,1263,1263,1263,1263,1263,1263,1263
?,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925
?,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
?,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998
?,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582
?,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820
?,2415,2415,2415,2415,2415,2415,2415,2415,2415,2415
?,2848,2848,2848,2848,2848,2848,2848,2848,2848,2848
?,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
?,2795,2795,2795,2795,2795,2795,2795,2795,2795,2795
?,2479,2479,2479,2479,2479,2479,2479,2479,2479,2479
?,2455,2455,2455,2455,2455,2455,2455,2455,2455,2455
?,2708,2708,2708,2708,2708,2708,2708,2708,2708,2708
?,2352,2352,2352,2352,2352,2352,2352,2352,2352,2352
?,563,563,563,563,563,563,563,563,563,563
?,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923
?,1381,1381,1381,1381,1381,1381,1381,1381,1381,1381
?,373,373,373,373,373,373,373,373,373,373
?,2833,2833,2833,2833,2833,2833,2833,2833,2833,2833
?,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006
?,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403
?,2183,2183,2183,2183,2183,2183,2183,2183,2183,2183
?,2118,2118,2118,2118,2118,2118,2118,2118,2118,2118
?,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525
?,2587,2587,2587,2587,2587,2587,2587,2587,2587,2587
?,258,258,258,258,258,258,258,258,258,258
?,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031
?,2577,2577,2577,2577,2577,2577,2577,2577,2577,2577
?,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099
?,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112
?,1184,1184,1184,1184,1184,1184,1184,1184,1184,1184
?,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435
?,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104
?,934,934,934,934,934,934,934,934,934,934
?,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283
?,1328,1328,1328,1328,1328,1328,1328,1328,1328,1328
?,981,981,981,981,981,981,981,981,981,981
?,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319
?,784,784,784,784,784,784,784,784,784,784
?,1428,1428,1428,1428,1428,1428,1428,1428,1428,1428
?,1255,1255,1255,1255,1255,1255,1255,1255,1255,1255
?,786,786,786,786,786,786,786,786,786,786
?,1373,1373,1373,1373,1373,1373,1373,1373,1373,1373
?,2121,2121,2121,2121,2121,2121,2121,2121,2121,2121
?,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770
?,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686
?,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141
?,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081
?,2449,2449,2449,2449,2449,2449,2449,2449,2449,2449
?,1737,1737,1737,1737,1737,1737,1737,1737,1737,1737
?,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744
?,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
?,772,772,772,772,772,772,772,772,772,772
?,2512,2512,2512,2512,2512,2512,2512,2512,2512,2512
?,571,571,571,571,571,571,571,571,571,571
?,2820,2820,2820,2820,2820,2820,2820,2820,2820,2820
?,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209
?,779,779,779,779,779,779,779,779,779,779
?,2815,2815,2815,2815,2815,2815,2815,2815,2815,2815
?,2810,2810,2810,2810,2810,2810,2810,2810,2810,2810
?,1481,1481,1481,1481,1481,1481,1481,1481,1481,1481
?,2919,2919,2919,2919,2919,2919,2919,2919,2919,2919
?,2224,2224,2224,2224,2224,2224,2224,2224,2224,2224
?,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265
?,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316
?,838,838,838,838,838,838,838,838,838,838
?,1896,1896,1896,1896,1896,1896,1896,1896,1896,1896
?,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383
?,2131,2131,2131,2131,2131,2131,2131,2131,2131,2131
?,711,711,711,711,711,711,711,711,711,711
?,481,481,481,481,481,481,481,481,481,481
?,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968
?,2961,2961,2961,2961,2961,2961,2961,2961,2961,2961
?,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194
?,2616,2616,2616,2616,2616,2616,2616,2616,2616,2616
?,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012
?,843,843,843,843,843,843,843,843,843,843
?,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450
?,2595,2595,2595,2595,2595,2595,2595,2595,2595,2595
?,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382
?,750,750,750,750,750,750,750,750,750,750
?,2653,2653,2653,2653,2653,2653,2653,2653,2653,2653
?,2036,2036,2036,2036,2036,2036,2036,2036,2036,2036
?,1536,1536,1536,1536,1536,1536,1536,1536,1536,1536
?,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007
?,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605
?,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984
?,2938,2938,2938,2938,2938,2938,2938,2938,2938,2938
?,1109,1109,1109,1109,1109,1109,1109,1109,1109,1109
?,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328
?,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881
?,2202,2202,2202,2202,2202,2202,2202,2202,2202,2202
?,1399,1399,1399,1399,1399,1399,1399,1399,1399,1399
?,600,600,600,600,600,600,600,600,600,600
?,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044
?,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483
?,296,296,296,296,296,296,296,296,296,296
?,1035,1035,1035,1035,1035,1035,1035,1035,1035,1035
?,510,510,510,510,510,510,510,510,510,510
?,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543
?,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256
?,1611,1611,1611,1611,1611,1611,1611,1611,1611,1611
?,14,14,14,14,14,14,14,14,14,14
?,273,273,273,273,273,273,273,273,273,273
?,774,774,774,774,774,774,774,774,774,774
?,1044,1044,1044,1044,1044,1044,1044,1044,1044,1044
?,2028,2028,2028,2028,2028,2028,2028,2028,2028,2028
?,1863,1863,1863,1863,1863,1863,1863,1863,1863,1863
?,2256,2256,2256,2256,2256,2256,2256,2256,2256,2256
?,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391
?,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135
?,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094
?,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325
?,1723,1723,1723,1723,1723,1723,1723,1723,1723,1723
?,816,816,816,816,816,816,816,816,816,816
?,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089
?,209,209,209,209,209,209,209,209,209,209
?,1752,1752,1752,1752,1752,1752,1752,1752,1752,1752
?,2573,2573,2573,2573,2573,2573,2573,2573,2573,2573
?,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006
?,2439,2439,2439,2439,2439,2439,2439,2439,2439,2439
?,443,443,443,443,443,443,443,443,443,443
?,1952,1952,1952,1952,1952,1952,1952,1952,1952,1952
?,1791,1791,1791,1791,1791,1791,1791,1791,1791,1791
?,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585
?,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283
?,490,490,490,490,490,490,490,490,490,490
?,573,573,573,573,573,573,573,573,573,573
?,742,742,742,742,742,742,742,742,742,742
?,504,504,504,504,504,504,504,504,504,504
?,1481,1481,1481,1481,1481,1481,1481,1481,1481,1481
?,224,224,224,224,224,224,224,224,224,224
?,169,169,169,169,169,169,169,169,169,169
?,288,288,288,288,288,288,288,288,288,288
?,1137,1137,1137,1137,1137,1137,1137,1137,1137,1137
?,441,441,441,441,441,441,441,441,441,441
?,2247,2247,2247,2247,2247,2247,2247,2247,2247,2247
?,2193,2193,2193,2193,2193,2193,2193,2193,2193,2193
?,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
?,522,522,522,522,522,522,522,522,522,522
?,393,393,393,393,393,393,393,393,393,393
?,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813
?,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734
?,840,840,840,840,840,840,840,840,840,840
?,164,164,164,164,164,164,164,164,164,164
?,2705,2705,2705,2705,2705,2705,2705,2705,2705,2705
?,2321,2321,2321,2321,2321,2321,2321,2321,2321,2321
?,246,246,246,246,246,246,246,246,246,246
?,41,41,41,41,41,41,41,41,41,41
?,457,457,457,457,457,457,457,457,457,457
?,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383
?,2558,2558,2558,2558,2558,2558,2558,2558,2558,2558
?,2948,2948,2948,2948,2948,2948,2948,2948,2948,2948
?,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136
?,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165
?,1761,1761,1761,1761,1761,1761,1761,1761,1761,1761
?,986,986,986,986,986,986,986,986,986,986
?,945,945,945,945,945,945,945,945,945,945
?,903,903,903,903,903,903,903,903,903,903
?,2533,2533,2533,2533,2533,2533,2533,2533,2533,2533
?,2473,2473,2473,2473,2473,2473,2473,2473,2473,2473
?,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338
?,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093
?,2264,2264,2264,2264,2264,2264,2264,2264,2264,2264
?,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449
?,969,969,969,969,969,969,969,969,969,969
?,622,622,622,622,622,622,622,622,622,622
?,95,95,95,95,95,95,95,95,95,95
?,2268,2268,2268,2268,2268,2268,2268,2268,2268,2268
?,2393,2393,2393,2393,2393,2393,2393,2393,2393,2393
?,1298,1298,1298,1298,1298,1298,1298,1298,1298,1298
?,901,901,901,901,901,901,901,901,901,901
?,704,704,704,704,704,704,704,704,704,704
?,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
?,833,833,833,833,833,833,833,833,833,833
?,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219
?,2525,2525,2525,2525,2525,2525,2525,2525,2525,2525
?,72,72,72,72,72,72,72,72,72,72
?,657,657,657,657,657,657,657,657,657,657
?,374,374,374,374,374,374,374,374,374,374
?,2340,2340,2340,2340,2340,2340,2340,2340,2340,2340
?,2516,2516,2516,2516,2516,2516,2516,2516,2516,2516
?,1105,1105,1105,1105,1105,1105,1105,1105,1105,1105
?,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992
?,511,511,511,511,511,511,511,511,511,511
?,392,392,392,392,392,392,392,392,392,392
?,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009
?,1665,1665,1665,1665,1665,1665,1665,1665,1665,1665
?,906,906,906,906,906,906,906,906,906,906
?,992,992,992,992,992,992,992,992,992,992
?,1883,1883,1883,1883,1883,1883,1883,1883,1883,1883
?,2497,2497,2497,2497,2497,2497,2497,2497,2497,2497
?,679,679,679,679,679,679,679,679,679,679
?,711,711,711,711,711,711,711,711,711,711
?,903,903,903,903,903,903,903,903,903,903
?,1145,1145,1145,1145,1145,1145,1145,1145,1145,1145
?,440,440,440,440,440,440,440,440,440,440
?,13,13,13,13,13,13,13,13,13,13
?,979,979,979,979,979,979,979,979,979,979
?,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
?,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264
?,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783
?,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375
?,2457,2457,2457,2457,2457,2457,2457,2457,2457,2457
?,1584,1584,1584,1584,1584,1584,1584,1584,1584,1584
?,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828
?,875,875,875,875,875,875,875,875,875,875
?,952,952,952,952,952,952,952,952,952,952
?,412,412,412,412,412,412,412,412,412,412
?,336,336,336,336,336,336,336,336,336,336
?,1674,1674,1674,1674,1674,1674,1674,1674,1674,1674
?,2919,2919,2919,2919,2919,2919,2919,2919,2919,2919
?,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820
?,1813,1813,1813,1813,1813,1813,1813,1813,1813,1813
?,616,616,616,616,616,616,616,616,616,616
?,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
?,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520
?,1558,1558,1558,1558,1558,1558,1558,1558,1558,1558
?,95,95,95,95,95,95,95,95,95,95
?,2218,2218,2218,2218,2218,2218,2218,2218,2218,2218
?,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113
?,841,841,841,841,841,841,841,841,841,841
?,2758,2758,2758,2758,2758,2758,2758,2758,2758,2758
?,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
?,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789
?,2147,2147,2147,2147,2147,2147,2147,2147,2147,2147
?,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403
?,1320,1320,1320,1320,1320,1320,1320,1320,1320,1320
?,85,85,85,85,85,85,85,85,85,85
?,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045
?,2079,2079,2079,2079,2079,2079,2079,2079,2079,2079
?,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522
?,1589,1589,1589,1589,1589,1589,1589,1589,1589,1589
?,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812
?,2485,2485,2485,2485,2485,2485,2485,2485,2485,2485
?,842,842,842,842,842,842,842,842,842,842
?,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528
?,592,592,592,592,592,592,592,592,592,592
?,2882,2882,2882,2882,2882,2882,2882,2882,2882,2882
?,317,317,317,317,317,317,317,317,317,317
?,2462,2462,2462,2462,2462,2462,2462,2462,2462,2462
?,2863,2863,2863,2863,2863,2863,2863,2863,2863,2863
?,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799
?,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547
?,690,690,690,690,690,690,690,690,690,690
?,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655
?,849,849,849,849,849,849,849,849,849,849
?,893,893,893,893,893,893,893,893,893,893
?,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288
?,1447,1447,1447,1447,1447,1447,1447,1447,1447,1447
?,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660
?,1123,1123,1123,1123,1123,1123,1123,1123,1123,1123
?,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019
?,2929,2929,2929,2929,2929,2929,2929,2929,2929,2929
?,1191,1191,1191,1191,1191,1191,1191,1191,1191,1191
?,946,946,946,946,946,946,946,946,946,946
?,1555,1555,1555,1555,1555,1555,1555,1555,1555,1555
?,2460,2460,2460,2460,2460,2460,2460,2460,2460,2460
?,1924,1924,1924,1924,1924,1924,1924,1924,1924,1924
?,100,100,100,100,100,100,100,100,100,100
?,2812,2812,2812,2812,2812,2812,2812,2812,2812,2812
?,2308,2308,2308,2308,2308,2308,2308,2308,2308,2308
?,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
?,2644,2644,2644,2644,2644,2644,2644,2644,2644,2644
?,2858,2858,2858,2858,2858,2858,2858,2858,2858,2858
?,265,265,265,265,265,265,265,265,265,265
?,1853,1853,1853,1853,1853,1853,1853,1853,1853,1853
?,2921,2921,2921,2921,2921,2921,2921,2921,2921,2921
?,90,90,90,90,90,90,90,90,90,90
?,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593
?,2342,2342,2342,2342,2342,2342,2342,2342,2342,2342
?,1414,1414,1414,1414,1414,1414,1414,1414,1414,1414
?,1473,1473,1473,1473,1473,1473,1473,1473,1473,1473
?,1561,1561,1561,1561,1561,1561,1561,1561,1561,1561
?,84,84,84,84,84,84,84,84,84,84
?,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011
?,1788,1788,1788,1788,1788,1788,1788,1788,1788,1788
?,2967,2967,2967,2967,2967,2967,2967,2967,2967,2967
?,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825
?,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738
?,367,367,367,367,367,367,367,367,367,367
?,1792,1792,1792,1792,1792,1792,1792,1792,1792,1792
?,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045
?,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427
?,937,937,937,937,937,937,937,937,937,937
?,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103
?,1502,1502,1502,1502,1502,1502,1502,1502,1502,1502
?,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065
?,1961,1961,1961,1961,1961,1961,1961,1961,1961,1961
?,648,648,648,648,648,648,648,648,648,648
?,691,691,691,691,691,691,691,691,691,691
?,898,898,898,898,898,898,898,898,898,898
?,2399,2399,2399,2399,2399,2399,2399,2399,2399,2399
?,2642,2642,2642,2642,2642,2642,2642,2642,2642,2642
?,2119,2119,2119,2119,2119,2119,2119,2119,2119,2119
?,2454,2454,2454,2454,2454,2454,2454,2454,2454,2454
?,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175
?,802,802,802,802,802,802,802,802,802,802
?,149,149,149,149,149,149,149,149,149,149
?,1563,1563,1563,1563,1563,1563,1563,1563,1563,1563
?,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
?,197,197,197,197,197,197,197,197,197,197
?,937,937,937,937,937,937,937,937,937,937
?,369,369,369,369,369,369,369,369,369,369
?,2897,2897,2897,2897,2897,2897,2897,2897,2897,2897
?,651,651,651,651,651,651,651,651,651,651
?,379,379,379,379,379,379,379,379,379,379
?,2521,2521,2521,2521,2521,2521,2521,2521,2521,2521
?,2849,2849,2849,2849,2849,2849,2849,2849,2849,2849
?,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265
?,206,206,206,206,206,206,206,206,206,206
?,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026
?,325,325,325,325,325,325,325,325,325,325
?,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152
?,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046
?,1856,1856,1856,1856,1856,1856,1856,1856,1856,1856
?,611,611,611,611,611,611,611,611,611,611
?,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201
?,581,581,581,581,581,581,581,581,581,581
?,1786,1786,1786,1786,1786,1786,1786,1786,1786,1786
?,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141
?,762,762,762,762,762,762,762,762,762,762
?,939,939,939,939,939,939,939,939,939,939
?,1678,1678,1678,1678,1678,1678,1678,1678,1678,1678
?,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277
?,683,683,683,683,683,683,683,683,683,683
?,2133,2133,2133,2133,2133,2133,2133,2133,2133,2133
?,274,274,274,274,274,274,274,274,274,274
?,950,950,950,950,950,950,950,950,950,950
?,378,378,378,378,378,378,378,378,378,378
?,2544,2544,2544,2544,2544,2544,2544,2544,2544,2544
?,214,214,214,214,214,214,214,214,214,214
?,2346,2346,2346,2346,2346,2346,2346,2346,2346,2346
?,2682,2682,2682,2682,2682,2682,2682,2682,2682,2682
?,721,721,721,721,721,721,721,721,721,721
?,1181,1181,1181,1181,1181,1181,1181,1181,1181,1181
?,2245,2245,2245,2245,2245,2245,2245,2245,2245,2245
?,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927
?,1734,1734,1734,1734,1734,1734,1734,1734,1734,1734
?,688,688,688,688,688,688,688,688,688,688
?,968,968,968,968,968,968,968,968,968,968
?,71,71,71,71,71,71,71,71,71,71
?,801,801,801,801,801,801,801,801,801,801
?,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469
?,2919,2919,2919,2919,2919,2919,2919,2919,2919,2919
?,316,316,316,316,316,316,316,316,316,316
?,276,276,276,276,276,276,276,276,276,276
?,416,416,416,416,416,416,416,416,416,416
?,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103
?,733,733,733,733,733,733,733,733,733,733
?,2188,2188,2188,2188,2188,2188,2188,2188,2188,2188
?,509,509,509,509,509,509,509,509,509,509
?,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
?,2267,2267,2267,2267,2267,2267,2267,2267,2267,2267
?,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512
?,2963,2963,2963,2963,2963,2963,2963,2963,2963,2963
?,733,733,733,733,733,733,733,733,733,733
?,626,626,626,626,626,626,626,626,626,626
?,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186
?,766,766,766,766,766,766,766,766,766,766
?,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007
?,36,36,36,36,36,36,36,36,36,36
?,1334,1334,1334,1334,1334,1334,1334,1334,1334,1334
?,704,704,704,704,704,704,704,704,704,704
?,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116
?,2103,2103,2103,2103,2103,2103,2103,2103,2103,2103
?,85,85,85,85,85,85,85,85,85,85
?,2052,2052,2052,2052,2052,2052,2052,2052,2052,2052
?,2067,2067,2067,2067,2067,2067,2067,2067,2067,2067
?,233,233,233,233,233,233,233,233,233,233
?,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614
?,553,553,553,553,553,553,553,553,553,553
?,685,685,685,685,685,685,685,685,685,685
?,199,199,199,199,199,199,199,199,199,199
?,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922
?,639,639,639,639,639,639,639,639,639,639
?,542,542,542,542,542,542,542,542,542,542
?,991,991,991,991,991,991,991,991,991,991
?,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495
?,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505
?,2351,2351,2351,2351,2351,2351,2351,2351,2351,2351
?,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144
?,1895,1895,1895,1895,1895,1895,1895,1895,1895,1895
?,1007,1007,1007,1007,1007,1007,1007,1007,1007,1007
?,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864
?,718,718,718,718,718,718,718,718,718,718
?,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910
?,451,451,451,451,451,451,451,451,451,451
?,2923,2923,2923,2923,2923,2923,2923,2923,2923,2923
?,1017,1017,1017,1017,1017,1017,1017,1017,1017,1017
?,664,664,664,664,664,664,664,664,664,664
?,2622,2622,2622,2622,2622,2622,2622,2622,2622,2622
?,2483,2483,2483,2483,2483,2483,2483,2483,2483,2483
?,174,174,174,174,174,174,174,174,174,174
?,275,275,275,275,275,275,275,275,275,275
?,1546,1546,1546,1546,1546,1546,1546,1546,1546,1546
?,557,557,557,557,557,557,557,557,557,557
?,3,3,3,3,3,3,3,3,3,3
?,1177,1177,1177,1177,1177,1177,1177,1177,1177,1177
?,1888,1888,1888,1888,1888,1888,1888,1888,1888,1888
?,2167,2167,2167,2167,2167,2167,2167,2167,2167,2167
?,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007
?,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776
?,1618,1618,1618,1618,1618,1618,1618,1618,1618,1618
?,2255,2255,2255,2255,2255,2255,2255,2255,2255,2255
?,2218,2218,2218,2218,2218,2218,2218,2218,2218,2218
?,2975,2975,2975,2975,2975,2975,2975,2975,2975,2975
?,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655
?,2151,2151,2151,2151,2151,2151,2151,2151,2151,2151
?,1912,1912,1912,1912,1912,1912,1912,1912,1912,1912
?,2652,2652,2652,2652,2652,2652,2652,2652,2652,2652
?,2129,2129,2129,2129,2129,2129,2129,2129,2129,2129
?,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
?,2481,2481,2481,2481,2481,2481,2481,2481,2481,2481
?,2366,2366,2366,2366,2366,2366,2366,2366,2366,2366
?,2943,2943,2943,2943,2943,2943,2943,2943,2943,2943
?,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660
?,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030
?,2145,2145,2145,2145,2145,2145,2145,2145,2145,2145
?,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670
?,684,684,684,684,684,684,684,684,684,684
?,2061,2061,2061,2061,2061,2061,2061,2061,2061,2061
?,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047
?,518,518,518,518,518,518,518,518,518,518
?,150,150,150,150,150,150,150,150,150,150
?,848,848,848,848,848,848,848,848,848,848
?,301,301,301,301,301,301,301,301,301,301
?,2457,2457,2457,2457,2457,2457,2457,2457,2457,2457
?,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506
?,1223,1223,1223,1223,1223,1223,1223,1223,1223,1223
?,474,474,474,474,474,474,474,474,474,474
?,2476,2476,2476,2476,2476,2476,2476,2476,2476,2476
?,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690
?,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568
?,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540
?,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227
?,1531,1531,1531,1531,1531,1531,1531,1531,1531,1531
?,98,98,98,98,98,98,98,98,98,98
?,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289
?,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996
?,814,814,814,814,814,814,814,814,814,814
?,66,66,66,66,66,66,66,66,66,66
?,883,883,883,883,883,883,883,883,883,883
?,1784,1784,1784,1784,1784,1784,1784,1784,1784,1784
?,2616,2616,2616,2616,2616,2616,2616,2616,2616,2616
?,603,603,603,603,603,603,603,603,603,603
?,1843,1843,1843,1843,1843,1843,1843,1843,1843,1843
?,2419,2419,2419,2419,2419,2419,2419,2419,2419,2419
?,573,573,573,573,573,573,573,573,573,573
?,2659,2659,2659,2659,2659,2659,2659,2659,2659,2659
?,1237,1237,1237,1237,1237,1237,1237,1237,1237,1237
?,1624,1624,1624,1624,1624,1624,1624,1624,1624,1624
?,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002
?,583,583,583,583,583,583,583,583,583,583
?,68,68,68,68,68,68,68,68,68,68
-,384,384,384,384,384,384,384,384,384,384
-,885,885,885,885,885,885,885,885,885,885
-,839,839,839,839,839,839,839,839,839,839
-,965,965,965,965,965,965,965,965,965,965
-,952,952,952,952,952,952,952,952,952,952
-,1064,1064,1064,1064,1064,1064,1064,1064,1064,1064
-,764,764,764,764,764,764,764,764,764,764
-,423,423,423,423,423,423,423,423,423,423
-,1411,1411,1411,1411,1411,1411,1411,1411,1411,1411
-,906,906,906,906,906,906,906,906,906,906
